time,c_S,OD,DCW,c_Ac
0.0,15.180000305175781,0.20999999344348907,0.10000000149011612,74.4800033569336
1.9999999999999996,14.800000190734863,0.5899999737739563,0.33000001311302185,55.41999816894531
3.9999999999999996,13.430000305175781,1.7599999904632568,0.6299999952316284,36.349998474121094
6.0,0.0,6.650000095367432,2.6500000953674316,19.350000381469727
8.0,0.0,12.649999618530273,4.880000114440918,-1.0
10.0,0.0,27.149999618530273,8.949999809265137,-1.0
12.0,0.0,25.100000381469727,9.199999809265137,-1.0
14.0,0.0,29.100000381469727,10.899999618530273,-1.0
16.0,0.0,30.25,11.930000305175781,-1.0
18.0,0.0,34.349998474121094,13.0,-1.0
20.0,0.0,37.29999923706055,14.579999923706055,-1.0
22.0,0.0,44.79999923706055,17.479999542236328,-1.0
24.0,0.0,51.400001525878906,19.0,-1.0
25.916666666666664,0.0,69.0,19.899999618530273,-1.0
27.916666666666664,0.0,76.0,25.649999618530273,-1.0
29.916666666666668,0.0,85.80000305175781,27.850000381469727,-1.0
31.916666666666668,0.0,99.0,30.8799991607666,-1.0
33.91666666666667,0.019999999552965164,109.4000015258789,36.33000183105469,-1.0
35.91666666666667,0.029999999329447746,126.5999984741211,38.099998474121094,-1.0
37.91666666666667,0.029999999329447746,138.60000610351562,45.29999923706055,-1.0
