time,c_S,OD,DCW,c_Ac,XOD,q_S_meas_DCW,q_S_meas_OD,ΔSΔt,Q_S_cum_offline,Volume,qX_DCW,qX_OD,Y_XS
0.0,15.180000305175781,0.20999999344348907,0.10000000149011612,74.4800033569336,1.3095144880015017,NaN,NaN,NaN,1.739360249133536e-8,2.971552126345997,NaN,NaN,NaN
1.9999999999999996,14.800000190734863,0.5899999737739563,0.33000001311302185,55.41999816894531,1.427686929525325,-0.1929554957482427,-0.04460033555698404,0.20065603564065176,0.00971342344663602,3.0749644371321865,0.3535803685922698,0.05680935561254833,-0.2944168829825398
3.9999999999999996,13.430000305175781,1.7599999904632568,0.6299999952316284,36.349998474121094,1.7915336813984415,1.153916924747679,0.4057795087175108,-2.218042811627029,0.020243500056420866,3.0583311764316172,0.2366708114947922,0.09937910584054192,0.08612327604283353
6.0,0.0,6.650000095367432,2.6500000953674316,19.350000381469727,3.312226527081589,2.571686466622551,2.057519111716547,-20.53669431640261,0.02138896790797391,3.0135523580135652,0.37936580472495285,0.22553894949246045,0.08770079573061852
8.0,0.0,12.649999618530273,4.880000114440918,-1.0,5.1781071310156115,0.004273111121783603,0.004027105317775217,0.0,0.14463287096838487,2.955094877724917,0.22311248477199863,0.17384329106867782,40.68307285117252
10.0,0.0,27.149999618530273,8.949999809265137,-1.0,9.68731894888279,0.12849440357898587,0.11871446512620398,0.0,6.940518840574676,2.954669087310104,0.22733500202254567,0.23269934833434175,1.8109687414619642
12.0,0.0,25.100000381469727,9.199999809265137,-1.0,9.049809929132987,0.164476314191651,0.167205949190227,0.0,15.806646786509383,2.929630275510282,0.009429707082397437,-0.03979664211618259,-0.2419597150615302
14.0,0.0,29.100000381469727,10.899999618530273,-1.0,10.29373043061359,0.1381889389749354,0.1463278441440703,0.0,24.61097511771205,2.922580412033112,0.07696365051387258,0.05936091447784809,0.4295634290137717
16.0,0.0,30.25,11.930000305175781,-1.0,10.651357456159758,0.1256038790798925,0.14068200432873582,0.0,33.354984517009,2.9176763373312715,0.042400661184272284,0.015975671105612987,0.1271909054293728
18.0,0.0,34.349998474121094,13.0,-1.0,11.92637549565936,0.11460281968962156,0.12491948257937299,0.0,42.041226445131365,2.9151658651114425,0.04075868689978569,0.05306915506948243,0.4630702387010149
20.0,0.0,37.29999923706055,14.579999923706055,-1.0,12.84376710276031,0.1295393983670128,0.1470506591405001,0.0,53.056920785482994,2.91623476997293,0.05434721876742376,0.03588367201831286,0.27700971650838413
22.0,0.0,44.79999923706055,17.479999542236328,-1.0,15.176118043036437,0.15648474282246136,0.1802406402708966,0.0,69.17696434881904,2.9466109476150772,0.08725122331566677,0.08120506950227496,0.5189328239776423
24.0,0.0,51.400001525878906,19.0,-1.0,17.22858758225645,0.2078080832969282,0.2291745370182293,0.0,92.59702698576359,2.965801079709206,0.042976428972187,0.062415626701311296,0.3003522563274319
25.916666666666664,0.0,69.0,19.899999618530273,-1.0,22.70183731425308,0.2305127633184343,0.2020631122760791,0.0,119.07870025699728,3.0119710132476833,0.03123217072144779,0.13185701941205374,0.5720161327028308
27.916666666666664,0.0,76.0,25.649999618530273,-1.0,24.87869819184413,0.16290196123358663,0.1679523265758788,0.0,143.80781388163797,2.9591356792131,0.10515956749408138,0.03560314562734504,0.21855565984434872
29.916666666666668,0.0,85.80000305175781,27.850000381469727,-1.0,27.92630436950763,0.18831019239437843,0.1877956660726083,0.0,174.71031868418453,2.946216479485251,0.03747800958212753,0.05261191573203853,0.2793896340026741
31.916666666666668,0.0,99.0,30.8799991607666,-1.0,32.031241075357585,0.19610004923133478,0.18905197402259272,0.0,209.9983770452008,2.9136862521324334,0.04402629401904726,0.05921016073958116,0.30193853072281623
33.91666666666667,0.019999999552965164,109.4000015258789,36.33000183105469,-1.0,35.265434853725154,0.18498257968948606,0.1905666975809986,0.028873280726463845,248.864224451661,2.8873281371832027,0.0711271971461618,0.041709168751455576,0.22547619792884865
35.91666666666667,0.029999999329447746,126.5999984741211,38.099998474121094,-1.0,40.614292061055714,0.1931934176787574,0.18123346598546042,0.014295285563694644,291.2594191910719,2.877904483670081,0.021667121820359746,0.06442782605949102,0.3334887225123881
37.91666666666667,0.029999999329447746,138.60000610351562,45.29999923706055,-1.0,44.34605593808758,0.2670154756827734,0.272759337642116,-0.014388645811763693,337.646134461361,1.9186614081117477,-0.1307754810439051,-0.1868658540177913,-0.6998315492387284
